filename,dish
Images\grilled_cheese_sandwich\2302945.jpg,grilled_cheese_sandwich
Images\donuts\2499239.jpg,donuts
Images\club_sandwich\2643704.jpg,club_sandwich
Images\grilled_cheese_sandwich\2582102.jpg,grilled_cheese_sandwich
Images\fried_rice\2419114.jpg,fried_rice
Images\fish_and_chips\3647175.jpg,fish_and_chips
Images\fried_rice\15501.jpg,fried_rice
Images\fried_rice\424164.jpg,fried_rice
Images\fried_rice\68708.jpg,fried_rice
Images\churros\255168.jpg,churros
Images\dumplings\38553.jpg,dumplings
Images\club_sandwich\2361985.jpg,club_sandwich
Images\chicken_wings\1783614.jpg,chicken_wings
Images\escargots\3492040.jpg,escargots
Images\escargots\3051922.jpg,escargots
Images\dumplings\193240.jpg,dumplings
Images\dumplings\985230.jpg,dumplings
Images\fried_rice\3547337.jpg,fried_rice
Images\fish_and_chips\2561516.jpg,fish_and_chips
Images\churros\2532463.jpg,churros
Images\churros\1314081.jpg,churros
Images\churros\3179675.jpg,churros
Images\club_sandwich\718074.jpg,club_sandwich
Images\fish_and_chips\1260416.jpg,fish_and_chips
Images\chicken_quesadilla\221676.jpg,chicken_quesadilla
Images\dumplings\1062297.jpg,dumplings
Images\grilled_cheese_sandwich\1329864.jpg,grilled_cheese_sandwich
Images\donuts\2330100.jpg,donuts
Images\chicken_quesadilla\2100377.jpg,chicken_quesadilla
Images\club_sandwich\1067957.jpg,club_sandwich
Images\fish_and_chips\3650902.jpg,fish_and_chips
Images\club_sandwich\3335971.jpg,club_sandwich
Images\donuts\2106964.jpg,donuts
Images\chicken_wings\3502153.jpg,chicken_wings
Images\fried_rice\776408.jpg,fried_rice
Images\dumplings\229306.jpg,dumplings
Images\grilled_cheese_sandwich\2655307.jpg,grilled_cheese_sandwich
Images\chicken_quesadilla\2693415.jpg,chicken_quesadilla
Images\escargots\1794557.jpg,escargots
Images\escargots\2782974.jpg,escargots
Images\fish_and_chips\2519024.jpg,fish_and_chips
Images\donuts\305695.jpg,donuts
Images\fried_rice\3648444.jpg,fried_rice
Images\escargots\1608570.jpg,escargots
Images\dumplings\951533.jpg,dumplings
Images\fried_rice\2285680.jpg,fried_rice
Images\donuts\1844533.jpg,donuts
Images\escargots\2561150.jpg,escargots
Images\churros\3700970.jpg,churros
Images\chicken_quesadilla\2594782.jpg,chicken_quesadilla
Images\fish_and_chips\2402597.jpg,fish_and_chips
Images\churros\2079919.jpg,churros
Images\donuts\1955330.jpg,donuts
Images\escargots\97976.jpg,escargots
Images\churros\2189937.jpg,churros
Images\fried_rice\1807202.jpg,fried_rice
Images\grilled_cheese_sandwich\449038.jpg,grilled_cheese_sandwich
Images\dumplings\3339824.jpg,dumplings
Images\churros\275341.jpg,churros
Images\fried_rice\2717564.jpg,fried_rice
Images\chicken_wings\2553133.jpg,chicken_wings
Images\grilled_cheese_sandwich\231786.jpg,grilled_cheese_sandwich
Images\grilled_cheese_sandwich\1123368.jpg,grilled_cheese_sandwich
Images\fried_rice\1398971.jpg,fried_rice
Images\dumplings\124911.jpg,dumplings
Images\escargots\3230651.jpg,escargots
Images\fish_and_chips\210499.jpg,fish_and_chips
Images\churros\456796.jpg,churros
Images\club_sandwich\142623.jpg,club_sandwich
Images\grilled_cheese_sandwich\2806980.jpg,grilled_cheese_sandwich
Images\french_fries\3145574.jpg,french_fries
Images\fried_rice\3514266.jpg,fried_rice
Images\fried_rice\1598757.jpg,fried_rice
Images\chicken_wings\1786755.jpg,chicken_wings
Images\fried_rice\3370219.jpg,fried_rice
Images\donuts\1720807.jpg,donuts
Images\club_sandwich\982029.jpg,club_sandwich
Images\donuts\629177.jpg,donuts
Images\fried_rice\2264579.jpg,fried_rice
Images\fried_rice\3367571.jpg,fried_rice
Images\chicken_quesadilla\3432401.jpg,chicken_quesadilla
Images\fried_rice\1028159.jpg,fried_rice
Images\chicken_quesadilla\3221100.jpg,chicken_quesadilla
Images\club_sandwich\1782847.jpg,club_sandwich
Images\club_sandwich\1842761.jpg,club_sandwich
Images\chicken_quesadilla\909940.jpg,chicken_quesadilla
Images\fried_rice\2295134.jpg,fried_rice
Images\french_fries\2881817.jpg,french_fries
Images\dumplings\3627268.jpg,dumplings
Images\chicken_quesadilla\1723714.jpg,chicken_quesadilla
Images\chicken_quesadilla\3324435.jpg,chicken_quesadilla
Images\club_sandwich\3029774.jpg,club_sandwich
Images\fried_rice\2888901.jpg,fried_rice
Images\escargots\2269919.jpg,escargots
Images\chicken_quesadilla\1298013.jpg,chicken_quesadilla
Images\fish_and_chips\1140370.jpg,fish_and_chips
Images\fish_and_chips\701446.jpg,fish_and_chips
Images\chicken_wings\3366275.jpg,chicken_wings
Images\fish_and_chips\3573017.jpg,fish_and_chips
Images\donuts\1670061.jpg,donuts
Images\chicken_wings\3060145.jpg,chicken_wings
Images\chicken_quesadilla\1414212.jpg,chicken_quesadilla
Images\escargots\3547563.jpg,escargots
Images\escargots\2335237.jpg,escargots
Images\grilled_cheese_sandwich\2357427.jpg,grilled_cheese_sandwich
Images\french_fries\720462.jpg,french_fries
Images\escargots\3433680.jpg,escargots
Images\fried_rice\3729463.jpg,fried_rice
Images\escargots\3719043.jpg,escargots
Images\chicken_wings\1443659.jpg,chicken_wings
Images\fish_and_chips\683555.jpg,fish_and_chips
Images\chicken_wings\1817884.jpg,chicken_wings
Images\fried_rice\2004848.jpg,fried_rice
Images\dumplings\1411526.jpg,dumplings
Images\chicken_quesadilla\593745.jpg,chicken_quesadilla
Images\churros\927506.jpg,churros
Images\club_sandwich\1984401.jpg,club_sandwich
Images\club_sandwich\3423667.jpg,club_sandwich
Images\chicken_wings\644125.jpg,chicken_wings
Images\dumplings\1783191.jpg,dumplings
Images\fish_and_chips\1688780.jpg,fish_and_chips
Images\chicken_wings\1946032.jpg,chicken_wings
Images\chicken_quesadilla\1396039.jpg,chicken_quesadilla
Images\escargots\1623414.jpg,escargots
Images\club_sandwich\3396914.jpg,club_sandwich
Images\grilled_cheese_sandwich\740862.jpg,grilled_cheese_sandwich
Images\churros\2494317.jpg,churros
Images\club_sandwich\219493.jpg,club_sandwich
Images\fried_rice\797293.jpg,fried_rice
Images\fried_rice\3400112.jpg,fried_rice
Images\donuts\1869998.jpg,donuts
Images\fried_rice\3297783.jpg,fried_rice
Images\donuts\1727922.jpg,donuts
Images\grilled_cheese_sandwich\1828168.jpg,grilled_cheese_sandwich
Images\french_fries\114269.jpg,french_fries
Images\fish_and_chips\2939722.jpg,fish_and_chips
Images\escargots\27948.jpg,escargots
Images\dumplings\2636909.jpg,dumplings
Images\donuts\3067129.jpg,donuts
Images\grilled_cheese_sandwich\2048835.jpg,grilled_cheese_sandwich
Images\grilled_cheese_sandwich\292679.jpg,grilled_cheese_sandwich
Images\chicken_wings\764732.jpg,chicken_wings
Images\grilled_cheese_sandwich\654342.jpg,grilled_cheese_sandwich
Images\dumplings\2583206.jpg,dumplings
Images\chicken_quesadilla\2690022.jpg,chicken_quesadilla
Images\donuts\2512789.jpg,donuts
Images\french_fries\1781706.jpg,french_fries
Images\escargots\2499183.jpg,escargots
Images\escargots\225653.jpg,escargots
Images\fried_rice\650486.jpg,fried_rice
Images\dumplings\31046.jpg,dumplings
Images\chicken_wings\2581683.jpg,chicken_wings
Images\escargots\2718694.jpg,escargots
Images\escargots\1647983.jpg,escargots
Images\club_sandwich\2214212.jpg,club_sandwich
Images\donuts\1539242.jpg,donuts
Images\dumplings\848018.jpg,dumplings
Images\french_fries\1062594.jpg,french_fries
Images\french_fries\2239316.jpg,french_fries
Images\fish_and_chips\549848.jpg,fish_and_chips
Images\club_sandwich\638566.jpg,club_sandwich
Images\donuts\2385502.jpg,donuts
Images\fish_and_chips\2919201.jpg,fish_and_chips
Images\churros\2772999.jpg,churros
Images\fried_rice\805320.jpg,fried_rice
Images\donuts\2507909.jpg,donuts
Images\dumplings\244956.jpg,dumplings
Images\french_fries\2385210.jpg,french_fries
Images\dumplings\3233866.jpg,dumplings
Images\club_sandwich\1458672.jpg,club_sandwich
Images\donuts\470232.jpg,donuts
Images\grilled_cheese_sandwich\831248.jpg,grilled_cheese_sandwich
Images\chicken_wings\3807875.jpg,chicken_wings
Images\dumplings\1281900.jpg,dumplings
Images\french_fries\2214673.jpg,french_fries
Images\dumplings\432.jpg,dumplings
Images\chicken_quesadilla\3525716.jpg,chicken_quesadilla
Images\escargots\1352687.jpg,escargots
Images\chicken_quesadilla\884734.jpg,chicken_quesadilla
Images\chicken_quesadilla\2223295.jpg,chicken_quesadilla
Images\fried_rice\3903358.jpg,fried_rice
Images\club_sandwich\837357.jpg,club_sandwich
Images\fried_rice\3421855.jpg,fried_rice
Images\fried_rice\3603260.jpg,fried_rice
Images\chicken_wings\3180536.jpg,chicken_wings
Images\chicken_quesadilla\77537.jpg,chicken_quesadilla
Images\dumplings\3734809.jpg,dumplings
Images\french_fries\1209297.jpg,french_fries
Images\french_fries\3337777.jpg,french_fries
Images\fish_and_chips\2364171.jpg,fish_and_chips
Images\churros\3723919.jpg,churros
Images\chicken_quesadilla\1532306.jpg,chicken_quesadilla
Images\chicken_quesadilla\2828048.jpg,chicken_quesadilla
Images\donuts\3479876.jpg,donuts
Images\fried_rice\1986419.jpg,fried_rice
Images\churros\3026243.jpg,churros
Images\fried_rice\2679144.jpg,fried_rice
Images\fish_and_chips\1525416.jpg,fish_and_chips
Images\club_sandwich\1327327.jpg,club_sandwich
Images\chicken_wings\1582030.jpg,chicken_wings
Images\club_sandwich\727652.jpg,club_sandwich
Images\fried_rice\3148612.jpg,fried_rice
Images\fried_rice\357481.jpg,fried_rice
Images\grilled_cheese_sandwich\424351.jpg,grilled_cheese_sandwich
Images\dumplings\196859.jpg,dumplings
Images\churros\1587692.jpg,churros
Images\chicken_wings\397812.jpg,chicken_wings
Images\fish_and_chips\3550882.jpg,fish_and_chips
Images\fried_rice\2206557.jpg,fried_rice
Images\grilled_cheese_sandwich\269401.jpg,grilled_cheese_sandwich
Images\churros\2911512.jpg,churros
Images\grilled_cheese_sandwich\3394340.jpg,grilled_cheese_sandwich
Images\escargots\878274.jpg,escargots
Images\french_fries\3684873.jpg,french_fries
Images\dumplings\680982.jpg,dumplings
Images\donuts\2075898.jpg,donuts
Images\grilled_cheese_sandwich\827045.jpg,grilled_cheese_sandwich
Images\french_fries\1267026.jpg,french_fries
Images\chicken_quesadilla\80127.jpg,chicken_quesadilla
Images\chicken_wings\1758979.jpg,chicken_wings
Images\french_fries\2406476.jpg,french_fries
Images\fish_and_chips\1659195.jpg,fish_and_chips
Images\dumplings\35818.jpg,dumplings
Images\club_sandwich\1227130.jpg,club_sandwich
Images\chicken_wings\3337245.jpg,chicken_wings
Images\chicken_quesadilla\1412322.jpg,chicken_quesadilla
Images\french_fries\2971456.jpg,french_fries
Images\club_sandwich\674170.jpg,club_sandwich
Images\grilled_cheese_sandwich\1692038.jpg,grilled_cheese_sandwich
Images\chicken_quesadilla\2734051.jpg,chicken_quesadilla
Images\fried_rice\680018.jpg,fried_rice
Images\chicken_wings\2681816.jpg,chicken_wings
Images\donuts\3141582.jpg,donuts
Images\dumplings\3582626.jpg,dumplings
Images\fish_and_chips\189837.jpg,fish_and_chips
Images\churros\3334007.jpg,churros
Images\churros\1537956.jpg,churros
Images\fried_rice\1856727.jpg,fried_rice
Images\chicken_quesadilla\2896274.jpg,chicken_quesadilla
Images\fish_and_chips\3792391.jpg,fish_and_chips
Images\fish_and_chips\3551112.jpg,fish_and_chips
Images\escargots\2443852.jpg,escargots
Images\chicken_quesadilla\3319078.jpg,chicken_quesadilla
Images\french_fries\3377570.jpg,french_fries
Images\chicken_quesadilla\3600156.jpg,chicken_quesadilla
Images\donuts\378304.jpg,donuts
Images\french_fries\696257.jpg,french_fries
Images\donuts\3051684.jpg,donuts
Images\french_fries\491207.jpg,french_fries
Images\fried_rice\1708048.jpg,fried_rice
Images\fish_and_chips\2391837.jpg,fish_and_chips
Images\grilled_cheese_sandwich\1708063.jpg,grilled_cheese_sandwich
Images\grilled_cheese_sandwich\1876351.jpg,grilled_cheese_sandwich
Images\escargots\3894721.jpg,escargots
Images\fish_and_chips\556207.jpg,fish_and_chips
Images\club_sandwich\212813.jpg,club_sandwich
Images\french_fries\3535015.jpg,french_fries
Images\donuts\97163.jpg,donuts
Images\churros\1266437.jpg,churros
Images\fried_rice\461757.jpg,fried_rice
Images\grilled_cheese_sandwich\992328.jpg,grilled_cheese_sandwich
Images\fried_rice\1620327.jpg,fried_rice
Images\chicken_wings\44775.jpg,chicken_wings
Images\grilled_cheese_sandwich\3391814.jpg,grilled_cheese_sandwich
Images\dumplings\2173015.jpg,dumplings
Images\fish_and_chips\250633.jpg,fish_and_chips
Images\donuts\1774515.jpg,donuts
Images\grilled_cheese_sandwich\2559833.jpg,grilled_cheese_sandwich
Images\fried_rice\865507.jpg,fried_rice
Images\grilled_cheese_sandwich\963727.jpg,grilled_cheese_sandwich
Images\escargots\3648640.jpg,escargots
Images\dumplings\2786536.jpg,dumplings
Images\dumplings\224995.jpg,dumplings
Images\churros\938480.jpg,churros
Images\club_sandwich\1379689.jpg,club_sandwich
Images\chicken_quesadilla\1796335.jpg,chicken_quesadilla
Images\churros\3139698.jpg,churros
Images\fried_rice\1771237.jpg,fried_rice
Images\grilled_cheese_sandwich\1022435.jpg,grilled_cheese_sandwich
Images\chicken_quesadilla\2746395.jpg,chicken_quesadilla
Images\fried_rice\1611074.jpg,fried_rice
Images\churros\2820413.jpg,churros
Images\french_fries\320734.jpg,french_fries
Images\fish_and_chips\2750436.jpg,fish_and_chips
Images\grilled_cheese_sandwich\2646733.jpg,grilled_cheese_sandwich
Images\grilled_cheese_sandwich\692070.jpg,grilled_cheese_sandwich
Images\donuts\325885.jpg,donuts
Images\french_fries\204132.jpg,french_fries
Images\chicken_wings\36256.jpg,chicken_wings
Images\chicken_quesadilla\1238682.jpg,chicken_quesadilla
Images\club_sandwich\2033998.jpg,club_sandwich
Images\donuts\2337352.jpg,donuts
Images\french_fries\2507866.jpg,french_fries
Images\escargots\726831.jpg,escargots
Images\escargots\3434320.jpg,escargots
Images\grilled_cheese_sandwich\228838.jpg,grilled_cheese_sandwich
Images\chicken_wings\2266452.jpg,chicken_wings
Images\churros\254472.jpg,churros
Images\club_sandwich\3196071.jpg,club_sandwich
Images\grilled_cheese_sandwich\1870087.jpg,grilled_cheese_sandwich
Images\donuts\1825727.jpg,donuts
Images\churros\454763.jpg,churros
Images\chicken_quesadilla\479440.jpg,chicken_quesadilla
Images\churros\3431478.jpg,churros
Images\churros\1502746.jpg,churros
Images\escargots\704627.jpg,escargots
Images\escargots\2141872.jpg,escargots
Images\fish_and_chips\1916348.jpg,fish_and_chips
Images\churros\2484407.jpg,churros
Images\chicken_wings\3828827.jpg,chicken_wings
Images\chicken_wings\2590671.jpg,chicken_wings
Images\fish_and_chips\1468016.jpg,fish_and_chips
Images\chicken_wings\2583751.jpg,chicken_wings
Images\french_fries\839871.jpg,french_fries
Images\fried_rice\2986320.jpg,fried_rice
Images\dumplings\3116265.jpg,dumplings
Images\club_sandwich\726363.jpg,club_sandwich
Images\escargots\2639347.jpg,escargots
Images\chicken_quesadilla\1580737.jpg,chicken_quesadilla
Images\donuts\365526.jpg,donuts
Images\churros\1848421.jpg,churros
